codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
A-A--I-1;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;1. Desarrollo.;1;A;0;I;1;A;normal
A-A--I-1;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;1. Desarrollo.;2;A;0;I;1;A;abbreviated
A-A--I-2;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;2. Concesiones.;3;A;0;I;2;A;normal
A-A--I-2;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;2. Concesiones.;4;A;0;I;2;A;abbreviated
A-A--I-3;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;3. Patentes, licencias, marcas y similares.;5;A;0;I;3;A;normal
A-A--I-3;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;3. Patentes, licencias, marcas y similares.;6;A;0;I;3;A;abbreviated
A-A--I-4;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;4. Fondo de comercio.;7;A;0;I;4;A;normal
A-A--I-4;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;4. Fondo de comercio.;8;A;0;I;4;A;abbreviated
A-A--I-5;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;5. Aplicaciones informáticas.;9;A;0;I;5;A;normal
A-A--I-5;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;5. Aplicaciones informáticas.;10;A;0;I;5;A;abbreviated
A-A--I-6;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;6. Otro inmovilizado intangible.;11;A;0;I;6;A;normal
A-A--I-6;A) ACTIVO NO CORRIENTE;;I. Inmovilizado intangible.;6. Otro inmovilizado intangible.;12;A;0;I;6;A;abbreviated
A-A--II-1;A) ACTIVO NO CORRIENTE;;II. Inmovilizado material.;1. Terrenos y construcciones.;13;A;0;II;1;A;normal
A-A--II-1;A) ACTIVO NO CORRIENTE;;II. Inmovilizado material.;1. Terrenos y construcciones.;14;A;0;II;1;A;abbreviated
A-A--II-2;A) ACTIVO NO CORRIENTE;;II. Inmovilizado material.;2. Instalaciones técnicas, y otro inmovilizado material.;15;A;0;II;2;A;normal
A-A--II-2;A) ACTIVO NO CORRIENTE;;II. Inmovilizado material.;2. Instalaciones técnicas, y otro inmovilizado material.;16;A;0;II;2;A;abbreviated
A-A--II-3;A) ACTIVO NO CORRIENTE;;II. Inmovilizado material.;3. Inmovilizado en curso y anticipos.;17;A;0;II;3;A;normal
A-A--II-3;A) ACTIVO NO CORRIENTE;;II. Inmovilizado material.;3. Inmovilizado en curso y anticipos.;18;A;0;II;3;A;abbreviated
A-A--III-1;A) ACTIVO NO CORRIENTE;;III. Inversiones inmobiliarias.;1. Terrenos.;19;A;0;III;1;A;normal
A-A--III-1;A) ACTIVO NO CORRIENTE;;III. Inversiones inmobiliarias.;1. Terrenos.;20;A;0;III;1;A;abbreviated
A-A--III-2;A) ACTIVO NO CORRIENTE;;III. Inversiones inmobiliarias.;2. Construcciones.;21;A;0;III;2;A;normal
A-A--III-2;A) ACTIVO NO CORRIENTE;;III. Inversiones inmobiliarias.;2. Construcciones.;22;A;0;III;2;A;abbreviated
A-A--IV-1;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;1. Instrumentos de patrimonio.;23;A;0;IV;1;A;normal
A-A--IV-1;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;1. Instrumentos de patrimonio.;24;A;0;IV;1;A;abbreviated
A-A--IV-2;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;2. Créditos a empresas.;25;A;0;IV;2;A;normal
A-A--IV-2;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;2. Créditos a empresas.;26;A;0;IV;2;A;abbreviated
A-A--IV-3;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;3. Valores representativos de deuda.;27;A;0;IV;3;A;normal
A-A--IV-3;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;3. Valores representativos de deuda.;28;A;0;IV;3;A;abbreviated
A-A--IV-4;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;4. Derivados.;29;A;0;IV;4;A;normal
A-A--IV-4;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;4. Derivados.;30;A;0;IV;4;A;abbreviated
A-A--IV-5;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;5. Otros activos financieros.;31;A;0;IV;5;A;normal
A-A--IV-5;A) ACTIVO NO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a largo plazo;5. Otros activos financieros.;32;A;0;IV;5;A;abbreviated
A-A--V-1;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;1. Instrumentos de patrimonio.;33;A;0;V;1;A;normal
A-A--V-1;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;1. Instrumentos de patrimonio.;34;A;0;V;1;A;abbreviated
A-A--V-2;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;2. Créditos a terceros;35;A;0;V;2;A;normal
A-A--V-2;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;2. Créditos a terceros;36;A;0;V;2;A;abbreviated
A-A--V-3;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;3. Valores representativos de deuda;37;A;0;V;3;A;normal
A-A--V-3;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;3. Valores representativos de deuda;38;A;0;V;3;A;abbreviated
A-A--V-4;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;4. Derivados.;39;A;0;V;4;A;normal
A-A--V-4;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;4. Derivados.;40;A;0;V;4;A;abbreviated
A-A--V-5;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;5. Otros activos financieros.;41;A;0;V;5;A;normal
A-A--V-5;A) ACTIVO NO CORRIENTE;;V. Inversiones financieras a largo plazo.;5. Otros activos financieros.;42;A;0;V;5;A;abbreviated
A-A--VI-;A) ACTIVO NO CORRIENTE;;VI. Activos por impuesto diferido.;;43;A;0;VI;;A;normal
A-A--VI-;A) ACTIVO NO CORRIENTE;;VI. Activos por impuesto diferido.;;44;A;0;VI;;A;abbreviated
A-B--I-;B) ACTIVO CORRIENTE;;I. Activos no corrientes mantenidos para la venta.;;45;B;0;I;;A;normal
A-B--I-;B) ACTIVO CORRIENTE;;I. Activos no corrientes mantenidos para la venta.;;46;B;0;I;;A;abbreviated
A-B--II-1;B) ACTIVO CORRIENTE;;II. Existencias.;1. Comerciales.;47;B;0;II;1;A;normal
A-B--II-1;B) ACTIVO CORRIENTE;;II. Existencias.;1. Comerciales.;48;B;0;II;1;A;abbreviated
A-B--II-2;B) ACTIVO CORRIENTE;;II. Existencias.;2. Materias primas y otros aprovisionamientos.;49;B;0;II;2;A;normal
A-B--II-2;B) ACTIVO CORRIENTE;;II. Existencias.;2. Materias primas y otros aprovisionamientos.;50;B;0;II;2;A;abbreviated
A-B--II-3;B) ACTIVO CORRIENTE;;II. Existencias.;3. Productos en curso.;51;B;0;II;3;A;normal
