codbalance;nature;subtype;level1;description1;level2;description2;level3;description3;level4;description4
A-A--I-1;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;1;1. Desarrollo.
A-A--I-2;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;2;2. Concesiones.
A-A--I-3;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;3;3. Patentes, licencias, marcas y similares.
A-A--I-4;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;4;4. Fondo de comercio.
A-A--I-5;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;5;5. Aplicaciones informáticas.
A-A--I-6;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;I;I. Inmovilizado intangible.;6;6. Otro inmovilizado intangible.
A-A--II-1;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;II;II. Inmovilizado material.;1;1. Terrenos y construcciones.
A-A--II-2;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;II;II. Inmovilizado material.;2;2. Instalaciones técnicas, y otro inmovilizado material.
A-A--II-3;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;II;II. Inmovilizado material.;3;3. Inmovilizado en curso y anticipos.
A-A--III-1;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;III;III. Inversiones inmobiliarias.;1;1. Terrenos.
A-A--III-2;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;III;III. Inversiones inmobiliarias.;2;2. Construcciones.
A-A--IV-1;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;1;1. Instrumentos de patrimonio.
A-A--IV-2;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;2;2. Créditos a empresas.
A-A--IV-3;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;3;3. Valores representativos de deuda.
A-A--IV-4;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;4;4. Derivados.
A-A--IV-5;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo;5;5. Otros activos financieros.
A-A--V-1;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;1;1. Instrumentos de patrimonio.
A-A--V-2;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;2;2. Créditos a terceros
A-A--V-3;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;3;3. Valores representativos de deuda
A-A--V-4;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;4;4. Derivados.
A-A--V-5;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;V;V. Inversiones financieras a largo plazo.;5;5. Otros activos financieros.
A-A--VI-;A;abbreviated;A;A) ACTIVO NO CORRIENTE;0;;VI;VI. Activos por impuesto diferido.;;
A-B--I-;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;I;I. Activos no corrientes mantenidos para la venta.;;
A-B--II-1;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;1;1. Comerciales.
A-B--II-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;2;2. Materias primas y otros aprovisionamientos.
A-B--II-3;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;3;3. Productos en curso.
A-B--II-4;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;4;4. Productos terminados.
A-B--II-5;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;5;5. Subproductos, residuos y materiales recuperados.
A-B--II-6;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;6;6. Anticipos a proveedores
A-B--III-1;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;1;1. Clientes por ventas y prestaciones de servicios.
A-B--III-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;2;2. Clientes, empresas del grupo y asociadas.
A-B--III-3;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;3;3. Deudores varios.
A-B--III-4;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;4;4. Personal.
A-B--III-5;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;5;5. Activos por impuesto corriente.
A-B--III-6;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;6;6. Otros créditos con las Administraciones Públicas.
A-B--III-7;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;7;7. Accionistas (socios) por desembolsos exigidos
A-B--IV-1;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;1;1. Instrumentos de patrimonio.
A-B--IV-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;2;2. Créditos a empresas.
A-B--IV-3;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;3;3. Valores representativos de deuda.
A-B--IV-4;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;4;4. Derivados.
A-B--IV-5;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;5;5. Otros activos financieros.
A-B--V-1;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;1;1. Instrumentos de patrimonio.
A-B--V-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;2;2. Créditos a empresas
A-B--V-3;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;3;3. Valores representativos de deuda.
A-B--V-4;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;4;4. Derivados.
A-B--V-5;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;5;5. Otros activos financieros.
A-B--VI-;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;VI;VI. Periodificaciones a corto plazo.;;
A-B--VII-1;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;VII;VII. Efectivo y otros activos líquidos equivalentes.;1;1. Tesorería.
A-B--VII-2;A;abbreviated;B;B) ACTIVO CORRIENTE;0;;VII;VII. Efectivo y otros activos líquidos equivalentes.;2;2. Otros activos líquidos equivalentes.
IG-A--I-1;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;I;I. Por valoración instrumentos financieros.;1;1. Activos financieros disponibles para la venta.
IG-A--I-2;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;I;I. Por valoración instrumentos financieros.;2;2. Otros ingresos/gastos.
IG-A--II-;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;II;II. Por coberturas de flujos de efectivo.;;
IG-A--III-;IG;abbreviated;A;Ingresos y gastos imputados directamente al patrimonio neto;0;;III;III. Subvenciones, donaciones y legados recibidos.;;
