codbalance;nature;level1;description1;level2;description2;level3;description3;level4;description4;accounts
A-A-I;A;A;A) ACTIVO NO CORRIENTE;I;I. Inmovilizado intangible.;;;;;20, 280, 290
A-A-II;A;A;A) ACTIVO NO CORRIENTE;II;II. Inmovilizado material.;;;;;21, 281, 291, 23
A-A-III;A;A;A) ACTIVO NO CORRIENTE;III;III. Inversiones inmobiliarias.;;;;;22, 282, 292
A-A-IV;A;A;A) ACTIVO NO CORRIENTE;IV;IV. Inversiones en empresas del grupo y asociadas a largo plazo.;;;;;2403, 2404, 2413, 2414, 2423, 2424, 2493, 2494, 2933, 2934, 2943, 2944, 2953, 2954
A-A-V;A;A;A) ACTIVO NO CORRIENTE;V;V. Inversiones financieras a largo plazo.;;;;;2405, 2415, 2425, 2495, 250, 251, 252, 253, 254, 255, 258, 259, 26, 2935, 2945, 2955, 296, 297, 298
A-A-VI;A;A;A) ACTIVO NO CORRIENTE;VI;VI. Activos por Impuesto diferido.;;;;;474
A-A-VII;A;A;A) ACTIVO NO CORRIENTE;VII;VII. Deudores comerciales no corrientes;;;;;
A-B-I;A;B;B) ACTIVO CORRIENTE;I;I. Existencias.;;;;;30, 31, 32, 33, 34, 35, 36, 39, 407
A-B-II-1;A;B;B) ACTIVO CORRIENTE;II;II. Deudores comerciales y otras cuentas a cobrar.;1;1. Clientes por ventas y prestaciones de servicios.;;;430, 431, 432, 433, 434, 435, 436, 437, 490, 493
A-B-II-2;A;B;B) ACTIVO CORRIENTE;II;II. Deudores comerciales y otras cuentas a cobrar.;2;2. Accionistas (socios) por desembolsos exigidos.;;;5580
A-B-II-3;A;B;B) ACTIVO CORRIENTE;II;II. Deudores comerciales y otras cuentas a cobrar.;3;3. Otros deudores.;;;44, 460, 470, 471, 472, 544
A-B-III;A;B;B) ACTIVO CORRIENTE;III;III. Inversiones en empresas del grupo y asociadas a corto plazo.;;;;;5303, 5304, 5313, 5314, 5323, 5324, 5333 ,5334, 5343, 5344, 5353, 5354, 5393, 5394, 5523, 5524, 5933, 5934, 5943, 5944, 5953, 5954
A-B-IV;A;B;B) ACTIVO CORRIENTE;IV;IV. Inversiones financieras a corto plazo.;;;;;5305, 5315, 5325, 5335, 5345, 5355, 5395, 540, 541, 542, 543, 545, 546, 547, 548, 549, 551, 5525, 5590, 565, 566, 5935, 5945, 5955, 596, 597, 598
A-B-V;A;B;B) ACTIVO CORRIENTE;V;V. Periodificaciones a corto plazo.;;;;;480, 567
A-B-VI;A;B;B) ACTIVO CORRIENTE;VI;VI. Efectivo y otros activos líquidos equivalentes.;;;;;57
P-A-1-I-1;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;I;I. Capital.;1;1. Capital escriturado.;100, 101, 102
P-A-1-I-2;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;I;I. Capital.;2;2. (Capital no exigido).;1030, 1040
P-A-1-II;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;II;II. Prima de emisión.;;;110
P-A-1-III;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;III;III. Reservas.;;;112, 113, 114, 119
P-A-1-IV;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;IV;IV. (Acciones y participaciones en patrimonio propias).;;;108, 109
P-A-1-V;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;V;V. Resultados de ejercicios anteriores.;;;120, 121
P-A-1-VI;P;A;A) PATRIMONIO NETO;A-1;A-1) Fondos propios.;VI;VI. Otras aportaciones de socios.;;;118
